Region,States
Region 1,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, and Vermont"
Region 2,"New Jersey, New York, Puerto Rico, and the U.S. Virgin Islands"
Region 3,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, and West Virginia"
Region 4,"Alabama, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, and Tennessee"
Region 5,"Illinois, Indiana, Michigan, Minnesota, Ohio, and Wisconsin"
Region 6,"Arkansas, Louisiana, New Mexico, Oklahoma, and Texas"
Region 7,"Iowa, Kansas, Missouri, and Nebraska"
Region 8,"Colorado, Montana, North Dakota, South Dakota, Utah, and Wyoming"
Region 9,"Arizona, California, Hawaii, and Nevada"
Region 10,"Alaska, Idaho, Oregon, and Washington"
