state,Year,Week,Percent of Deaths Due to Pneumonia and Influenza,All Deaths,Number of Pneumonia and Influenza Deaths
Alabama,2010,40,7.09,959,68
Alabama,2010,41,6.49,909,59
Alabama,2010,42,6.78,870,59
Alabama,2010,43,6.43,856,55
Alabama,2010,44,6.53,857,56
Alabama,2010,45,5.78,934,54
Alabama,2010,46,7.14,896,64
Alabama,2010,47,7.49,881,66
Alabama,2010,48,8.02,910,73
Alabama,2010,49,6.2,984,61
Alabama,2010,50,7.59,1054,80
Alabama,2010,51,7.63,983,75
Alabama,2010,52,8.74,1075,94
Alabama,2011,01,10.26,1072,110
Alabama,2011,02,8.12,1047,85
Alabama,2011,03,7.55,1020,77
Alabama,2011,04,9.75,1036,101
Alabama,2011,05,9.08,991,90
Alabama,2011,06,7.29,988,72
Alabama,2011,07,7.85,1045,82
Alabama,2011,08,7.94,1007,80
Alabama,2011,09,8.59,1025,88
Alabama,2011,10,6.52,997,65
Alabama,2011,11,8.41,951,80
Alabama,2011,12,7.05,964,68
Alabama,2011,13,6.72,878,59
Alabama,2011,14,6.55,932,61
Alabama,2011,15,5.56,864,48
Alabama,2011,16,6.14,912,56
Alabama,2011,17,6.04,1176,71
Alabama,2011,18,6.84,921,63
Alabama,2011,19,5.72,927,53
Alabama,2011,20,5.59,913,51
Alabama,2011,21,6.55,885,58
Alabama,2011,22,8.11,888,72
Alabama,2011,23,6.16,893,55
Alabama,2011,24,6.54,933,61
Alabama,2011,25,6.37,879,56
Alabama,2011,26,5.79,898,52
Alabama,2011,27,5.1,882,45
Alabama,2011,28,5.43,903,49
Alabama,2011,29,7.17,892,64
Alabama,2011,30,5.88,834,49
Alabama,2011,31,6.41,905,58
Alabama,2011,32,6.22,868,54
Alabama,2011,33,6.46,851,55
Alabama,2011,34,6.34,867,55
Alabama,2011,35,4.96,846,42
Alabama,2011,36,5.98,870,52
Alabama,2011,37,5.78,882,51
Alabama,2011,38,5.29,831,44
Alabama,2011,39,7.02,855,60
Alabama,2011,40,5.37,1005,54
Alabama,2011,41,6.1,902,55
Alabama,2011,42,6.26,878,55
Alabama,2011,43,5.87,886,52
Alabama,2011,44,6.43,886,57
